spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68
Antimora rostrata,Blue antimora,White et al. 2010 Heredity 106:690-699,0,North Atlantic Ocean,NW Mid-Atlantic Ridge,53.28,,,-35.53,,,2005,13,,1,20,2,0.83,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimora rostrata,Blue antimora,White et al. 2010 Heredity 106:690-699,0,North Atlantic Ocean,SW Mid-Atlantic Ridge,51.92,,,-30.42,,,2005,13,,1,12,2,0.83,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimora rostrata,Blue antimora,White et al. 2010 Heredity 106:690-699,0,North Atlantic Ocean,NE Mid-Atlantic Ridge,53.14,,,-34.77,,,2005,13,,1,20,2,0.81,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimora rostrata,Blue antimora,White et al. 2010 Heredity 106:690-699,0,North Atlantic Ocean,SE Mid-Atlantic Ridge,51.75,,,-29.55,,,2005,13,,1,62,2,0.83,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimora rostrata,Blue antimora,White et al. 2010 Heredity 106:690-699,0,Ireland,Porcupine,49.85,,,-12.87,,,2001,13,,1,23,2,0.83,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimora rostrata,Blue antimora,White et al. 2010 Heredity 106:690-699,0,Mid-Atlantic Ocean,North of the Azores,42.6,,,-28.4,,,2005,13,,1,16,2,0.83,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimora rostrata,Blue antimora,White et al. 2010 Heredity 106:690-699,0,Greenland,Greenland,64.58,,,-56.32,,,2008,13,,1,92,2,0.84,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimora rostrata,Blue antimora,White et al. 2010 Heredity 106:690-699,0,North Atlantic Ocean,SE Mid-Atlantic Ridge,49.08,,,-27.83,,,2009,13,,1,33,2,0.83,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimora rostrata,Blue antimora,White et al. 2010 Heredity 106:690-699,0,North Atlantic Ocean,NW Mid-Atlantic Ridge,54.22,,,-36.07,,,2009,13,,1,63,2,0.82,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navodon septentrionalis,Bluefin leatherjacket,Xu et al. 2009 Cons Gen 10:1181-1184,1,China,"Haiyang City, Shandong Province",36.670622,,,121.31414,,,,1,Namo04,0,32,2,0.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navodon septentrionalis,Bluefin leatherjacket,Xu et al. 2009 Cons Gen 10:1181-1184,1,China,"Haiyang City, Shandong Province",36.670622,,,121.31414,,,,1,Namo15,0,32,2,0.4365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navodon septentrionalis,Bluefin leatherjacket,Xu et al. 2009 Cons Gen 10:1181-1184,1,China,"Haiyang City, Shandong Province",36.670622,,,121.31414,,,,1,Namo33,0,32,2,0.1463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navodon septentrionalis,Bluefin leatherjacket,Xu et al. 2009 Cons Gen 10:1181-1184,1,China,"Haiyang City, Shandong Province",36.670622,,,121.31414,,,,1,Namo34,0,32,2,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navodon septentrionalis,Bluefin leatherjacket,Xu et al. 2009 Cons Gen 10:1181-1184,1,China,"Haiyang City, Shandong Province",36.670622,,,121.31414,,,,1,Namo40,0,32,2,0.4965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navodon septentrionalis,Bluefin leatherjacket,Xu et al. 2009 Cons Gen 10:1181-1184,1,China,"Haiyang City, Shandong Province",36.670622,,,121.31414,,,,1,Namo54,0,32,2,0.8056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navodon septentrionalis,Bluefin leatherjacket,Xu et al. 2009 Cons Gen 10:1181-1184,1,China,"Haiyang City, Shandong Province",36.670622,,,121.31414,,,,1,Namo60,0,32,2,0.3671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navodon septentrionalis,Bluefin leatherjacket,Xu et al. 2009 Cons Gen 10:1181-1184,1,China,"Haiyang City, Shandong Province",36.670622,,,121.31414,,,,1,Namo64,0,32,2,0.7641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navodon septentrionalis,Bluefin leatherjacket,Xu et al. 2009 Cons Gen 10:1181-1184,1,China,"Haiyang City, Shandong Province",36.670622,,,121.31414,,,,1,Namo77,0,32,2,0.1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navodon septentrionalis,Bluefin leatherjacket,Xu et al. 2009 Cons Gen 10:1181-1184,1,China,"Haiyang City, Shandong Province",36.670622,,,121.31414,,,,1,Namo78,0,32,2,0.6224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navodon septentrionalis,Bluefin leatherjacket,Xu et al. 2009 Cons Gen 10:1181-1184,1,China,"Haiyang City, Shandong Province",36.670622,,,121.31414,,,,1,Namo85,0,32,2,0.6935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navodon septentrionalis,Bluefin leatherjacket,Xu et al. 2009 Cons Gen 10:1181-1184,1,China,"Haiyang City, Shandong Province",36.670622,,,121.31414,,,,1,Namo90,0,32,2,0.4816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navodon septentrionalis,Bluefin leatherjacket,Xu et al. 2009 Cons Gen 10:1181-1184,1,China,"Haiyang City, Shandong Province",36.670622,,,121.31414,,,,1,Namo102,0,32,2,0.2981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navodon septentrionalis,Bluefin leatherjacket,Xu et al. 2009 Cons Gen 10:1181-1184,1,China,"Haiyang City, Shandong Province",36.670622,,,121.31414,,,,1,Namo114,0,32,2,0.6841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navodon septentrionalis,Bluefin leatherjacket,Xu et al. 2009 Cons Gen 10:1181-1184,1,China,"Haiyang City, Shandong Province",36.670622,,,121.31414,,,,1,Namo116,0,32,2,0.4936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merluccius bilinearis,Silver hake,Machado-Schiaffino et al. 2011 Biol Cons 144:330-338,0,USA,Gulf of Maine 1,43,0,,-69,45,,2002-2005,6,,1,54,2,0.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merluccius bilinearis,Silver hake,Machado-Schiaffino et al. 2011 Biol Cons 144:330-338,0,USA,Gulf of Maine 2,42,15,,-69,0,,2002-2006,6,,1,28,2,0.89,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merluccius bilinearis,Silver hake,Machado-Schiaffino et al. 2011 Biol Cons 144:330-338,0,USA,Atlantic Ocean 3,41,0,,-71,30,,2002-2007,6,,1,34,2,0.9,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merluccius bilinearis,Silver hake,Machado-Schiaffino et al. 2011 Biol Cons 144:330-338,0,Canada,Atlantic Ocean 4,41,20,,-67,0,,2002-2008,6,,1,69,2,0.91,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merluccius bilinearis,Silver hake,Machado-Schiaffino et al. 2011 Biol Cons 144:330-338,0,USA,Atlantic Ocean 5,38,30,,-73,30,,2002-2009,6,,1,26,2,0.91,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merluccius bilinearis,Silver hake,Machado-Schiaffino et al. 2011 Biol Cons 144:330-338,0,Canada,Atlantic Ocean 6,42,40,,-66,0,,2002-2010,6,,1,24,2,0.88,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merluccius hubbsi,Argentine hake,Machado-Schiaffino et al. 2011 Biol Cons 144:330-338,0,Argentina,Atlantic Ocean 1,-37,45,,-56,30,,2004,6,,1,50,2,0.85,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merluccius hubbsi,Argentine hake,Machado-Schiaffino et al. 2011 Biol Cons 144:330-338,0,Argentina,Atlantic Ocean 1-06,-37,45,,-56,30,,2006,6,,1,20,2,0.85,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merluccius hubbsi,Argentine hake,Machado-Schiaffino et al. 2011 Biol Cons 144:330-338,0,Argentina,Atlantic Ocean 2,-42,0,,-61,30,,2004,6,,1,52,2,0.87,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merluccius hubbsi,Argentine hake,Machado-Schiaffino et al. 2011 Biol Cons 144:330-338,0,Argentina,Atlantic Ocean 3,-42,0,,-60,20,,2004,6,,1,37,2,0.84,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merluccius hubbsi,Argentine hake,Machado-Schiaffino et al. 2011 Biol Cons 144:330-338,0,Argentina,Atlantic Ocean 4,-45,0,,-60,30,,2004,6,,1,50,2,0.85,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merluccius hubbsi,Argentine hake,Machado-Schiaffino et al. 2011 Biol Cons 144:330-338,0,Argentina,Atlantic Ocean 4-06,-45,0,,-60,30,,2006,6,,1,34,2,0.86,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merluccius hubbsi,Argentine hake,Machado-Schiaffino et al. 2011 Biol Cons 144:330-338,0,Argentina,Atlantic Ocean 5,-47,0,,-62,45,,2004,6,,1,50,2,0.85,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merluccius hubbsi,Argentine hake,Machado-Schiaffino et al. 2011 Biol Cons 144:330-338,0,Argentina,Atlantic Ocean 6,-46,45,,-64,0,,2004,6,,1,50,2,0.87,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merluccius hubbsi,Argentine hake,Machado-Schiaffino et al. 2011 Biol Cons 144:330-338,0,Argentina,Atlantic Ocean 6-06,-46,45,,-64,0,,2006,6,,1,35,2,0.86,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merluccius hubbsi,Argentine hake,Machado-Schiaffino et al. 2011 Biol Cons 144:330-338,0,Argentina,Atlantic Ocean 7,-49,15,,-66,40,,2004,6,,1,31,2,0.87,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
