spp,CommonName,Source,PrimerNote,Country,Site,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"New Bedford, MA",41,34,0,-70,54,54,,1,FhATG-B128,0,20,3,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Point Judith, RI",41,21,42,-71,28,54,,1,FhATG-2,0,50,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Point Judith, RI",41,21,42,-71,28,54,,1,FhATG-4,0,50,3,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Point Judith, RI",41,21,42,-71,28,54,,1,FhATG-6,0,50,3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Point Judith, RI",41,21,42,-71,28,54,,1,FhATG-17,0,50,3,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Point Judith, RI",41,21,42,-71,28,54,,1,FhATG-18,0,50,3,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Point Judith, RI",41,21,42,-71,28,54,,1,FhATG-20,0,50,3,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Point Judith, RI",41,21,42,-71,28,54,,1,FhATG-B101,0,50,3,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Point Judith, RI",41,21,42,-71,28,54,,1,FhATG-B128,0,50,3,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Molecular Ecology 15:1109-23,0,USA,"Clinton, CT",41,15,18,-72,32,48,,1,FhATG-2,0,50,3,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Molecular Ecology 15:1109-23,0,USA,"Clinton, CT",41,15,18,-72,32,48,,1,FhATG-4,0,50,3,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Molecular Ecology 15:1109-23,0,USA,"Clinton, CT",41,15,18,-72,32,48,,1,FhATG-6,0,50,3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Molecular Ecology 15:1109-23,0,USA,"Clinton, CT",41,15,18,-72,32,48,,1,FhATG-17,0,50,3,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Molecular Ecology 15:1109-23,0,USA,"Clinton, CT",41,15,18,-72,32,48,,1,FhATG-18,0,50,3,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Molecular Ecology 15:1109-23,0,USA,"Clinton, CT",41,15,18,-72,32,48,,1,FhATG-20,0,50,3,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Molecular Ecology 15:1109-23,0,USA,"Clinton, CT",41,15,18,-72,32,48,,1,FhATG-B101,0,50,3,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Molecular Ecology 15:1109-23,0,USA,"Clinton, CT",41,15,18,-72,32,48,,1,FhATG-B128,0,50,3,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Newark Bay, NJ",40,41,12,-74,6,42,,1,FhATG-2,0,51,3,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Newark Bay, NJ",40,41,12,-74,6,42,,1,FhATG-4,0,51,3,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Newark Bay, NJ",40,41,12,-74,6,42,,1,FhATG-6,0,51,3,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Newark Bay, NJ",40,41,12,-74,6,42,,1,FhATG-17,0,51,3,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Newark Bay, NJ",40,41,12,-74,6,42,,1,FhATG-18,0,51,3,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Newark Bay, NJ",40,41,12,-74,6,42,,1,FhATG-20,0,51,3,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Newark Bay, NJ",40,41,12,-74,6,42,,1,FhATG-B101,0,51,3,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Newark Bay, NJ",40,41,12,-74,6,42,,1,FhATG-B128,0,51,3,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Tuckerton, NJ",39,32,12,-74,19,24,,1,FhATG-2,0,50,3,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundulus heteroclitus,Mummichog,Adams et al. 2006 Mol Ecol Notes 15:1109-23,0,USA,"Tuckerton, NJ",39,32,12,-74,19,24,,1,FhATG-4,0,50,3,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
