"spp","fbsci"
"Rhincodon typus","Rhincodon typus"
"Rhomboplites aurorubens","Rhomboplites aurorubens"
"Sarda sarda","Sarda sarda"
"Sardina pilchardus","Sardina pilchardus"
"Sardinella longiceps","Sardinella longiceps"
"Scartella cristata","Scartella cristata"
"Sciaenops ocellatus","Sciaenops ocellatus"
"Scomber australasicus","Scomber australasicus"
"Scomber japonicus","Scomber japonicus"
"Scomber scombrus","Scomber scombrus"
"Scomberomorus brasiliensis","Scomberomorus brasiliensis"
"Scomberomorus commerson","Scomberomorus commerson"
"Scomberomorus concolor","Scomberomorus concolor"
"Scomberomorus niphonius","Scomberomorus niphonius"
"Scophthalmus maximus","Scophthalmus maximus"
"Scophthalmus rhombus","Scophthalmus rhombus"
"Scorpaena porcus","Scorpaena porcus"
"Scyliorhinus canicula","Scyliorhinus canicula"
"Sebastes alutus","Sebastes alutus"
"Sebastes atrovirens","Sebastes atrovirens"
"Sebastes auriculatus","Sebastes auriculatus"
"Sebastes borealis","Sebastes borealis"
"Sebastes caurinus","Sebastes caurinus"
"Sebastes crameri","Sebastes crameri"
"Sebastes fasciatus","Sebastes fasciatus"
"Sebastes flavidus","Sebastes flavidus"
"Sebastes inermis","Sebastes inermis"
"Sebastes macdonaldi","Sebastes macdonaldi"
"Sebastes melanops","Sebastes melanops"
"Sebastes mentella","Sebastes mentella"
"Sebastes mystinus","Sebastes mystinus"
"Sebastes norvegicus","Sebastes norvegicus"
"Sebastes paucispinis","Sebastes paucispinis"
"Sebastes pinniger","Sebastes pinniger"
"Sebastes polyspinis","Sebastes polyspinis"
"Sebastes rastrelliger","Sebastes rastrelliger"
"Sebastes ruberrimus","Sebastes ruberrimus"
"Sebastes schlegelii","Sebastes schlegelii"
"Sebastes thompsoni","Sebastes thompsoni"
"Sebastes viviparus","Sebastes viviparus"
"Sebastiscus marmoratus","Sebastiscus marmoratus"
"Semicossyphus darwini","Semicossyphus darwini"
"Semicossyphus pulcher","Semicossyphus pulcher"
"Seriola dumerili","Seriola dumerili"
"Seriola lalandi","Seriola lalandi"
"Serranus cabrilla","Serranus cabrilla"
"Siganus fuscescens","Siganus fuscescens"
"Siganus spinus","Siganus spinus"
"Sillago japonica","Sillago japonica"
"Sillago parvisquamis","Sillago parvisquamis"
"Siphamia tubifer","Siphamia tubifer"
"Solea senegalensis","Solea senegalensis"
"Solea solea","Solea solea"
"Sparus aurata","Sparus aurata"
"Sphyrna lewini","Sphyrna lewini"
"Spinachia spinachia","Spinachia spinachia"
"Sprattus fuegensis","Sprattus fuegensis"
"Sprattus sprattus","Sprattus sprattus"
"Squalus acanthias","Squalus acanthias"
"Squalus blainville","Squalus blainville"
"Stegastes partitus","Stegastes partitus"
"Stephanolepis cirrhifer","Stephanolepis cirrhifer"
"Symphodus melops","Symphodus melops"
"Symphodus tinca","Symphodus tinca"
"Syngnathus auliscus","Syngnathus auliscus"
"Syngnathus floridae","Syngnathus floridae"
"Syngnathus leptorhynchus","Syngnathus leptorhynchus"
"Syngnathus scovelli","Syngnathus scovelli"
"Syngnathus typhle","Syngnathus typhle"
"Thalassoma bifasciatum","Thalassoma bifasciatum"
"Thamnaconus modestus","Thamnaconus modestus"
"Thamnaconus septentrionalis","Thamnaconus septentrionalis"
"Thunnus alalunga","Thunnus alalunga"
"Thunnus albacares","Thunnus albacares"
"Thunnus obesus","Thunnus obesus"
"Thunnus orientalis","Thunnus orientalis"
"Thunnus thynnus","Thunnus thynnus"
"Totoaba macdonaldi","Totoaba macdonaldi"
"Trachinops caudimaculatus","Trachinops caudimaculatus"
"Trachinotus carolinus","Trachinotus carolinus"
"Trachinotus falcatus","Trachinotus falcatus"
"Trachinotus goodei","Trachinotus goodei"
"Trachurus japonicus","Trachurus japonicus"
"Trachurus murphyi","Trachurus murphyi"
"Trachurus trachurus","Trachurus trachurus"
"Trematomus bernacchii","Trematomus bernacchii"
"Trematomus eulepidotus","Trematomus eulepidotus"
"Trematomus hansoni","Trematomus hansoni"
"Trematomus newnesi","Trematomus newnesi"
"Trematomus scotti","Trematomus scotti"
"Triakis megalopterus","Triakis megalopterus"
"Tripterygion delaisi","Tripterygion delaisi"
"Urobatis halleri","Urobatis halleri"
"Urophycis tenuis","Urophycis tenuis"
"Verasper moseri","Verasper moseri"
"Verasper variegatus","Verasper variegatus"
"Zearaja chilensis","Zearaja chilensis"
"Zearaja maugeana","Zearaja maugeana"
"Zebrasoma flavescens","Zebrasoma flavescens"
"Zoarces viviparus","Zoarces viviparus"
"Zosterisessor ophiocephalus","Zosterisessor ophiocephalus"
