spp,CommonName,Pelagic_Coastal,PC_Certainty,Genus,Family,Northernmost,Southernmost,Westernmost,Easternmost,Range_Total,Half_RangeSize,Centroid
Sillago japonica,Japanese sillago,Coastal,,Sillago,Sillaginidae,45,21,116,149,24,12,33
Sillago parvisquamis,Small-scale sillago,Coastal,,Sillago,Sillaginidae,37,21,117,142,16,8,29
Siphamia tubifer,Tubifer cardinalfish,Coastal,,Siphamia,Apogonidae,NA,#VALUE!,#VALUE!,NA,#VALUE!,#VALUE!,#VALUE!
Solea senegalensis,Senegalese sole,Coastal,,Solea,Soleidae,47,-16,-19,14,63,31.5,15.5
Solea solea,Common sole,Coastal,,Solea,Soleidae,67,17,-17,37,50,25,42
Somniosus rostratus,Little sleeper shark,Coastal,,Somniosus,Somniosidae,47,-43,#VALUE!,NA,90,45,2
Sparus aurata,Gilthead seabream,Coastal,,Sparus,Sparidae,62,15,-17,43,47,23.5,38.5
Sphaeramia orbicularis,Orbiculate cardinalfish,Coastal,,Sphaeramia,Apogonidae,31,-27,32,-173,58,29,2
Sphyraena barracuda,Great barracuda,Coastal,,Sphyraena,Sphyraenidae,42,-35,-180,180,77,38.5,3.5
Sphyraena viridensis,Yellowmouth barracuda,Coastal,,Sphyraena,Sphyraenidae,44,14,-26,36,30,15,29
Sphyrna lewini,Scalloped hammerhead,Pelagic,,Sphyrna,Sphyrnidae,46,-35,-180,180,81,40.5,5.5
Spinachia spinachia,Sea stickleback,Coastal,,Spinachia,Gasterosteidae,71,43,-11,55,28,14,57
Sprattus fuegensis,Falkland sprat,Coastal,,Sprattus,Clupeidae,-38,-58,-70,-57,20,10,-48
Sprattus sprattus,European sprat,Coastal,,Sprattus,Clupeidae,66,30,-11,42,36,18,48
Squalus acanthias,Picked dogfish,Coastal,,Squalus,Squalidae,81,-57,-82,-171,138,69,12
Squalus blainville,Longnose spurdog,Coastal,,Squalus,Squalidae,50,-29,-17,43,79,39.5,10.5
Stegastes partitus,Bicolor damselfish,Coastal,,Stegastes,Pomacentridae,32,-5,-98,-34,37,18.5,13.5
Stenobrachius leucopsarus,Northern lampfish,Pelagic,,Stenobrachius,Myctophidae,66,29,128,-113,37,18.5,47.5
